"ProductKey","CurrencyAlternateKey","FIRST_NAME","LAST_NAME","OrderDateKey","OrderQuantity","UnitPrice","SecretCode"
"346","FRF","Rachael","Martinez","29.12.2010 00:00:00","1","3399,99","B9340437-C"
"346","USD","Sydney","Wright","29.12.2010 00:00:00","1","3399,99","C295A32D-D"
"336","USD","Ruben","Prasad","29.12.2010 00:00:00","1","699,10","34B3D972-2"
"346","AUD","Christy","Zhu","29.12.2010 00:00:00","1","3399,99","E2CF2EF7-B"
"311","USD","Colin","Anand","30.12.2010 00:00:00","1","3578,27","DC5E2EF9-F"
"310","AUD","Albert","Alvarez","30.12.2010 00:00:00","1","3578,27","D598D918-A"
"351","AUD","Julio","Ruiz","30.12.2010 00:00:00","1","3374,99","78E3422B-1"
"344","AUD","Curtis","Lu","30.12.2010 00:00:00","1","3399,99","F9DB6CC0-7"
"312","USD","Edward","Brown","31.12.2010 00:00:00","1","3578,27","16CD9D9B-1"
"312","USD","Emma","Brown","31.12.2010 00:00:00","1","3578,27","84CAAC9A-B"
"330","GBP","Brad","Deng","31.12.2010 00:00:00","1","699,10","BCFCDAC0-3"
"313","AUD","Martha","Xu","31.12.2010 00:00:00","1","3578,27","3B53A70D-D"
"314","AUD","Katrina","Raji","31.12.2010 00:00:00","1","3578,27","C62A80D7-E"
"314","USD","Courtney","Edwards","01.01.2011 00:00:00","1","3578,27","483991B2-D"
"311","DEM","Abigail","Henderson","01.01.2011 00:00:00","1","3578,27","1CD9AD89-6"
"310","USD","Sydney","Rogers","02.01.2011 00:00:00","1","3578,27","DFD61F6E-6"
"311","GBP","Latasha","Alonso","02.01.2011 00:00:00","1","3578,27","FAE7C111-2"
"314","AUD","Warren","Jai","02.01.2011 00:00:00","1","3578,27","56F1F407-4"
"311","AUD","Jonathon","Gutierrez","02.01.2011 00:00:00","1","3578,27","4C18BEE9-8"
"336","AUD","Alexandra","Watson","02.01.2011 00:00:00","1","699,10","36B5CAC2-2"
"311","USD","Kevin","Gonzalez","03.01.2011 00:00:00","1","3578,27","7756D5F4-4"
"312","USD","Lucas","Hill","03.01.2011 00:00:00","1","3578,27","3C6CC2FE-2"
"311","DEM","Melanie","Sanchez","03.01.2011 00:00:00","1","3578,27","FE196640-7"
"310","GBP","Louis","Xie","03.01.2011 00:00:00","1","3578,27","B97E1C09-A"
"312","GBP","Albert","Blanco","04.01.2011 00:00:00","1","3578,27","449FB2AF-8"
"332","USD","Bonnie","Xu","04.01.2011 00:00:00","1","699,10","90ADFCF7-B"
"311","AUD","Misty","Raji","04.01.2011 00:00:00","1","3578,27","B11CE3D4-E"
"311","DEM","Anne","Dominguez","05.01.2011 00:00:00","1","3578,27","02473854-8"
"332","USD","Kelvin","Huang","05.01.2011 00:00:00","1","699,10","B87F9F5E-D"
"311","AUD","Logan","Gonzales","05.01.2011 00:00:00","1","3578,27","2E147484-7"
"313","USD","Alyssa","Garcia","06.01.2011 00:00:00","1","3578,27","596B7899-4"
"346","GBP","Mayra","Prasad","06.01.2011 00:00:00","1","3399,99","5990280E-F"
