"ProductKey","CurrencyAlternateKey","FIRST_NAME","LAST_NAME","OrderDateKey","OrderQuantity","UnitPrice","SecretCode"
"346","FRF","Rachael","Martinez","29.12.2010 00:00:00","1","3399,99","50B178FF-9"
"346","USD","Sydney","Wright","29.12.2010 00:00:00","1","3399,99","AF262286-C"
"336","USD","Ruben","Prasad","29.12.2010 00:00:00","1","699,10","728CD662-8"
"346","AUD","Christy","Zhu","29.12.2010 00:00:00","1","3399,99","2D59B95A-A"
"311","USD","Colin","Anand","30.12.2010 00:00:00","1","3578,27","555785B3-D"
"310","AUD","Albert","Alvarez","30.12.2010 00:00:00","1","3578,27","A223C7CB-E"
"351","AUD","Julio","Ruiz","30.12.2010 00:00:00","1","3374,99","36DBE989-6"
"344","AUD","Curtis","Lu","30.12.2010 00:00:00","1","3399,99","1271B4C9-C"
"312","USD","Edward","Brown","31.12.2010 00:00:00","1","3578,27","7ECFEF57-4"
"312","USD","Emma","Brown","31.12.2010 00:00:00","1","3578,27","6E7E258C-9"
"330","GBP","Brad","Deng","31.12.2010 00:00:00","1","699,10","E27B8FF7-5"
"313","AUD","Martha","Xu","31.12.2010 00:00:00","1","3578,27","446E94DB-0"
"314","AUD","Katrina","Raji","31.12.2010 00:00:00","1","3578,27","6F641CAE-3"
"314","USD","Courtney","Edwards","01.01.2011 00:00:00","1","3578,27","669FFA4E-E"
"311","DEM","Abigail","Henderson","01.01.2011 00:00:00","1","3578,27","F16B6AA3-2"
"310","USD","Sydney","Rogers","02.01.2011 00:00:00","1","3578,27","92D0CD8E-2"
"311","GBP","Latasha","Alonso","02.01.2011 00:00:00","1","3578,27","5481BE58-D"
"314","AUD","Warren","Jai","02.01.2011 00:00:00","1","3578,27","37680DC7-4"
"311","AUD","Jonathon","Gutierrez","02.01.2011 00:00:00","1","3578,27","5DA46258-B"
"336","AUD","Alexandra","Watson","02.01.2011 00:00:00","1","699,10","810708E6-5"
"311","USD","Kevin","Gonzalez","03.01.2011 00:00:00","1","3578,27","DF501372-4"
"312","USD","Lucas","Hill","03.01.2011 00:00:00","1","3578,27","739053A7-4"
"311","DEM","Melanie","Sanchez","03.01.2011 00:00:00","1","3578,27","495E1791-1"
"310","GBP","Louis","Xie","03.01.2011 00:00:00","1","3578,27","2DBFDC71-4"
"312","GBP","Albert","Blanco","04.01.2011 00:00:00","1","3578,27","387AA6FB-2"
"332","USD","Bonnie","Xu","04.01.2011 00:00:00","1","699,10","7EA380C6-D"
"311","AUD","Misty","Raji","04.01.2011 00:00:00","1","3578,27","5E98D039-7"
"311","DEM","Anne","Dominguez","05.01.2011 00:00:00","1","3578,27","10BD3478-B"
"332","USD","Kelvin","Huang","05.01.2011 00:00:00","1","699,10","1B71E03D-4"
"311","AUD","Logan","Gonzales","05.01.2011 00:00:00","1","3578,27","7ACD4675-A"
"313","USD","Alyssa","Garcia","06.01.2011 00:00:00","1","3578,27","B37CF0D9-1"
"346","GBP","Mayra","Prasad","06.01.2011 00:00:00","1","3399,99","21C4E611-C"
"346","USD","Garrett","Cooper","06.01.2011 00:00:00","1","3399,99","31B4F8F0-0"
"314","AUD","Rosa","Zheng","06.01.2011 00:00:00","1","3578,27","31BF48C0-C"
"350","AUD","Alejandro","Beck","06.01.2011 00:00:00","1","3374,99","B32ADE00-E"
"312","USD","Patrick","Cook","06.01.2011 00:00:00","1","3578,27","229E038D-1"
"312","USD","Richard","Brooks","07.01.2011 00:00:00","1","3578,27","CCB02862-F"
"310","AUD","Casey","Pal","07.01.2011 00:00:00","1","3578,27","0D71A502-D"
"346","AUD","Ruben","Torres","07.01.2011 00:00:00","1","3399,99","0DC23B86-6"
"311","DEM","Lindsey","Andersen","08.01.2011 00:00:00","1","3578,27","F7B76954-7"
"312","FRF","Melody","Ramos","08.01.2011 00:00:00","1","3578,27","A85982AA-D"
"310","GBP","Phillip","Sai","08.01.2011 00:00:00","1","3578,27","5B3C6F91-2"
"312","AUD","Cory","Arun","08.01.2011 00:00:00","1","3578,27","C955FFAE-9"
"310","USD","Jeremiah","Martinez","09.01.2011 00:00:00","1","3578,27","8B9E152C-B"
"314","GBP","Tamara","Lal","09.01.2011 00:00:00","1","3578,27","42C81ABA-A"
"347","AUD","Marco","Mehta","09.01.2011 00:00:00","1","3399,99","B4964C58-B"
"313","AUD","Haley","Ward","09.01.2011 00:00:00","1","3578,27","F25AA393-0"
"311","AUD","Manuel","Fernandez","10.01.2011 00:00:00","1","3578,27","78E4DF95-4"
"312","AUD","Kelvin","Liang","10.01.2011 00:00:00","1","3578,27","4EDDA248-2"
"314","USD","Christian","Jackson","11.01.2011 00:00:00","1","3578,27","0DE294C4-C"
"313","USD","Alexandria","Hughes","11.01.2011 00:00:00","1","3578,27","FB8D6694-5"
"314","USD","Paige","Murphy","11.01.2011 00:00:00","1","3578,27","0151A76A-0"
"311","FRF","Stacey","Lu","11.01.2011 00:00:00","1","3578,27","3A2A7BD1-6"
"313","FRF","Darrell","Raji","11.01.2011 00:00:00","1","3578,27","99059290-9"
"311","DEM","Luke","Adams","11.01.2011 00:00:00","1","3578,27","8A816314-2"
"310","AUD","Tabitha","Arthur","11.01.2011 00:00:00","1","3578,27","FDBFAC51-E"
"312","USD","Morgan","Phillips","12.01.2011 00:00:00","1","3578,27","3BB5692F-7"
"311","USD","Kayla","Long","12.01.2011 00:00:00","1","3578,27","4B047A80-4"
"332","GBP","Cedric","Liang","12.01.2011 00:00:00","1","699,10","24D29B5F-6"
"350","AUD","Shannon","Wang","12.01.2011 00:00:00","1","3374,99","DC7CA4C4-1"
"310","USD","Jackson","Li","13.01.2011 00:00:00","1","3578,27","C2368EF4-3"
"310","DEM","Jon","Chander","13.01.2011 00:00:00","1","3578,27","F9B3FDB6-3"
